#Age[Ma] 	O18(Uvigerina ODP677)
0	3.97
0.003	3.97
0.006	3.97
0.009	4.33
0.012	4.61
0.015	4.98
0.018	5.08
0.021	5.01
0.024	4.92
0.027	4.74
0.03	4.72
0.033	4.69
0.036	4.57
0.039	4.62
0.042	4.55
0.045	4.47
0.048	4.5
0.051	4.53
0.054	4.57
0.057	4.68
0.06	4.68
0.063	4.55
0.066	4.57
0.069	4.25
0.072	3.85
0.075	3.97
0.078	3.82
0.081	3.83
0.084	3.99
0.087	4.07
0.09	3.96
0.093	3.83
0.096	3.8
0.099	3.8
0.102	3.87
0.105	4
0.108	3.89
0.111	3.5
0.114	3.73
0.117	3.83
0.12	3.8
0.123	3.67
0.126	3.92
0.129	4.26
0.132	4.79
0.135	4.72
0.138	4.91
0.141	5.05
0.144	5.07
0.147	4.97
0.15	4.72
0.153	4.88
0.156	4.81
0.159	4.8
0.162	4.8
0.165	4.83
0.168	4.88
0.171	4.7
0.174	4.61
0.177	4.86
0.18	4.81
0.183	4.63
0.186	4.63
0.189	4.47
0.192	4.51
0.195	4.51
0.198	3.65
0.201	3.75
0.204	3.89
0.207	3.86
0.21	3.72
0.213	3.9
0.216	3.99
0.219	4.53
0.222	4.53
0.225	4.55
0.228	4.6
0.231	4.26
0.234	4.17
0.237	3.84
0.24	4.07
0.243	4.39
0.246	4.66
0.249	4.8
0.252	4.81
0.255	4.68
0.258	4.83
0.261	4.72
0.264	4.7
0.267	4.86
0.27	4.9
0.273	4.6
0.276	4.55
0.279	4.39
0.282	4.04
0.285	3.95
0.288	4.07
0.291	4.23
0.294	4.32
0.297	4.5
0.3	4.39
0.303	4.3
0.306	4.2
0.309	4.28
0.312	4.08
0.315	3.83
0.318	3.95
0.321	3.68
0.324	3.65
0.327	3.33
0.33	3.52
0.333	3.86
0.336	4.54
0.339	5.09
0.342	5.1
0.345	4.99
0.348	4.68
0.351	4.78
0.354	4.8
0.357	4.67
0.36	4.69
0.363	4.59
0.366	4.51
0.369	4.54
0.372	4.5
0.375	4.39
0.378	4.43
0.381	4.29
0.384	4.21
0.387	4.2
0.39	3.92
0.393	3.83
0.396	3.87
0.399	3.64
0.402	3.42
0.405	3.47
0.408	3.41
0.411	3.59
0.414	4.01
0.417	4.48
0.42	4.87
0.423	4.85
0.426	4.3
0.429	4.34
0.432	4.52
0.435	4.59
0.438	4.64
0.441	4.62
0.444	4.58
0.447	4.39
0.45	4.57
0.453	4.49
0.456	4.47
0.459	4.42
0.462	4.4
0.465	4.26
0.468	4.13
0.471	4.04
0.474	3.99
0.477	3.81
0.48	3.71
0.483	3.74
0.486	3.77
0.489	3.8
0.492	3.8
0.495	3.77
0.498	3.7
0.501	3.77
0.504	3.92
0.507	4.16
0.51	4.2
0.513	4.25
0.516	4.17
0.519	4.13
0.522	3.97
0.525	3.95
0.528	4.07
0.531	4.21
0.534	4.57
0.537	4.4
0.54	4.31
0.543	4.32
0.546	4.49
0.549	4.59
0.552	4.6
0.555	4.5
0.558	4.29
0.561	4.03
0.564	3.78
0.567	3.7
0.57	3.56
0.573	3.55
0.576	3.64
0.579	3.9
0.582	4.26
0.585	4.15
0.588	4.05
0.591	4.1
0.594	4.08
0.597	4.18
0.6	4.07
0.603	4.04
0.606	3.94
0.609	3.76
0.612	3.68
0.615	3.72
0.618	3.95
0.621	4.51
0.624	4.94
0.627	4.98
0.63	4.72
0.633	4.91
0.636	4.96
0.639	4.9
0.642	4.75
0.645	4.76
0.648	4.77
0.651	4.73
0.654	4.76
0.657	4.73
0.66	4.67
0.663	4.6
0.666	4.68
0.669	4.52
0.672	4.47
0.675	4.37
0.678	4.33
0.681	4.27
0.684	4.2
0.687	4.11
0.69	3.94
0.693	3.87
0.696	3.91
0.699	4
0.702	4.2
0.705	4.23
0.708	4.22
0.711	4.42
0.714	4.58
0.717	4.74
0.72	4.88
0.723	4.69
0.726	4.37
0.729	4.3
0.732	4.3
0.735	4.3
0.738	4.3
0.741	4.3
0.744	4.37
0.747	4.61
0.75	4.7
0.753	4.69
0.756	4.62
0.759	4.58
0.762	4.44
0.765	4.3
0.768	4.4
0.771	4.54
0.774	4.22
0.777	3.97
0.78	3.81
0.783	3.67
0.786	3.7
0.789	3.93
0.792	4.44
0.795	4.56
0.798	4.64
0.801	4.62
0.804	4.58
0.807	4.3
0.81	4.02
0.813	3.92
0.816	4.03
0.819	4.09
0.822	4.05
0.825	4
0.828	4.05
0.831	4.09
0.834	3.91
0.837	3.81
0.84	3.8
0.843	3.79
0.846	3.76
0.849	3.85
0.852	3.77
0.855	3.64
0.858	3.65
0.861	3.8
0.864	3.96
0.867	4.34
0.87	4.68
0.873	4.94
0.876	4.95
0.879	4.86
0.882	4.71
0.885	4.64
0.888	4.63
0.891	4.58
0.894	4.56
0.897	4.38
0.9	4.29
0.903	4.21
0.906	4.15
0.909	4.21
0.912	4.31
0.915	4.5
0.918	4.55
0.921	4.44
0.924	4.37
0.927	4.23
0.93	4.17
0.933	4.08
0.936	4.04
0.939	3.93
0.942	3.79
0.945	3.62
0.948	3.47
0.951	3.54
0.954	3.58
0.957	3.71
0.96	4.19
0.963	4.46
0.966	4.42
0.969	4.17
0.972	4.13
0.975	4.01
0.978	4.01
0.981	4.12
0.984	4.13
0.987	4.07
0.99	4.17
0.993	4.07
0.996	3.9
0.999	3.92
